,Project Name,Prediction
0,The Songs of Adelaide & Abullah,Failed
1,Greeting From Earth: ZGAC Arts Capsule For ET,Failed
2,Where is Hank?,Failed
3,ToshiCapital Rekordz Needs Help to Complete Album,Failed
4,Community Film Project: The Art of Neighborhood Filmmaking,Failed
5,Monarch Espresso Bar,Successful
6,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,Successful
7,Chaser Strips. Our Strips make Shots their B*tch!,Failed
8,SPIN - Premium Retractable In-Ear Headphones with Mic,Failed
9,STUDIO IN THE SKY - A Documentary Feature Film (Canceled),Failed
10,Of Jesus and Madmen,Failed
11,Lisa Lim New CD!,Successful
12,The Cottage Market,Failed
13,G-Spot Place for Gamers to connect with eachother & go pro!,Failed
14,Tombstone: Old West tabletop game and miniatures in 32mm.,Successful
15,Survival Rings,Failed
16,The Beard,Successful
17,Notes From London: Above & Below,Successful
18,Mike Corey's Darkness & Light Album,Successful
19,Boco Tea,Successful
20,CMUK. Shoes: Take on Life Feet First.,Successful
21,MikeyJ clothing brand fundraiser,Failed
22,Alice in Wonderland in G Minor,Successful
23,Mountain brew: A quest for alcohol sustainability,Successful
24,The Book Zoo - A Mini-Comic,Successful
25,Matt Cavenaugh & Jenny Powers make their 1st album! ,Successful
26,Superhero Teddy Bear,Failed
27,Permaculture Skills,Successful
28,Rebel Army Origins: The Heroic Story Of Major Gripes,Successful
29,My Moon - Animated Short Film,Successful
30,Daily Brew Coffee,Failed
31,Ledr workbook: one tough journal!,Successful
32,Feather Cast Furled Fly Fishing Leaders,Successful
33,BB130A,Failed
34,Chris Eger Band - New Nashville Record!,Successful
35,Squatch Watchers,Successful
36,Arrows & Sound Debut Album,Successful
37,Zen in America: a film on Zen Buddhism in North America,Successful
38,Galaxy: Winnie and Friends,Failed
39,Help Scott Reynolds Make a New Record!,Successful
40,Unschooling To University Book Project,Successful
41,Phil Younger - Slow Down (Official Music Video),Successful
42,"""THE RETURN"" book project",Successful
43,Penny Bingo Playing Card Game fun for the whole family!,Successful
